what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367933747667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367933753402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367933762641
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367933765248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367936407023
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367936408188
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367936606650
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1367936611290
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1367936617142
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1367936617314
started,bundle,org.eclipse.xtext.common.types.shared,2.4.0.v201212180716,"org.eclipse.xtext.common.types.shared",1367936673680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367936673797
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367936675094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367936679225
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367936705995
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367936709039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367936712664
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367936714914
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367936715563
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367936745255
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1367936750395
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367936750529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367936750904
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367936758530
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367936985849
activated,editor,org.eclipse.emf.emfatic.ui,0.7.0.200810132307,"org.eclipse.emf.emfatic.ui.editor.EmfaticEditor",1367936987613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367937009605
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1367937009654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367937011350
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367937022953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367937269660
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1367937271245
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1367937274795
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1367937284551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367937289180
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367937289446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367937290278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367937290494
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367937292382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367937306605
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367937334161
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1367937336827
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1367937336886
started,bundle,org.eclipse.pde.api.tools,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools",1367937336988
started,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1367937336991
started,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1367937336992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367937340503
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1367937353897
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367937354010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367937354372
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367937362082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367938102839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367938104185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367938205121
activated,editor,org.eclipse.emf.emfatic.ui,0.7.0.200810132307,"org.eclipse.emf.emfatic.ui.editor.EmfaticEditor",1367938208379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367938211088
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1367938211131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367938215678
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367938222132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367938223703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367938427369
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367938430912
